case_id	intended_raw	typed_raw	intended_reading	operation	confidence	behavior	stratum	note
R000001	onegai	onegia	おねがい	transpose	high	auto	length=short;position=medial;lexical=common;feature=none	隣接転置
R000002	kudasai	kudasia	ください	transpose	high	auto	length=medium;position=medial;lexical=common;feature=none	隣接転置
R000003	shimaimashita	shimaiashita	しまいました	omission	high	suggest	length=long;position=medial;lexical=common;feature=none	m脱落
R000004	arigatou	arigatouu	ありがとう	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	末尾重複
R000005	dekita	deita	できた	omission	medium	suggest	length=short;position=medial;lexical=common;feature=none	k脱落
R000006	ohayou	ohayouu	おはよう	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	末尾重複
R000007	sakura	sakrua	さくら	transpose	high	auto	length=short;position=medial;lexical=common;feature=none	中長語の隣接転置
R000008	arigatou	airgatou	ありがとう	transpose	high	auto	length=medium;position=medial;lexical=common;feature=none	長語の隣接転置
R000009	ohayou	oahyou	おはよう	transpose	high	auto	length=short;position=medial;lexical=common;feature=none	母音境界の転置
R000010	kanji	kani	かんじ	omission	medium	suggest	length=short;position=final;lexical=common;feature=n	子音脱落
R000011	kawaii	kawii	かわいい	omission	medium	suggest	length=short;position=medial;lexical=common;feature=none	母音脱落
R000012	hajimemashite	hajimemashte	はじめまして	omission	medium	suggest	length=long;position=medial;lexical=common;feature=none	長語の母音脱落
R000013	sakura	sakuraa	さくら	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	末尾母音重複
R000014	tanuki	tanukii	たぬき	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	末尾母音重複
R000015	densha	denshaa	でんしゃ	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=n	末尾母音重複
R000016	yoroshiku	yoroshikuu	よろしく	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	長語の末尾重複
R000017	sakura	sakora	さくら	replacement	medium	suggest	length=short;position=medial;lexical=common;feature=none	母音置換
R000018	kudasai	kudasei	ください	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=none	母音置換
R000019	ohayou	ohayoo	おはよう	replacement	medium	suggest	length=short;position=final;lexical=common;feature=none	末尾母音置換
R000020	neko	niko	ねこ	replacement	medium	suggest	length=short;position=medial;lexical=common;feature=none	母音置換
R000021	sakura	sakurq	さくら	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=none	QWERTY隣接置換
R000022	kudasai	kudaszi	ください	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=none	QWERTY隣接置換
R000023	ohayou	ohayu	おはよう	omission	medium	suggest	length=short;position=final;lexical=common;feature=none	母音脱落
R000024	ittekimasu	itekimasu	いってきます	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	促音脱落
R000025	mataashita	matashita	またあした	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	長語音節脱落
R000026	oyasuminasai	oyasuminasaii	おやすみなさい	duplicate	high	auto	length=long;position=medial;lexical=common;feature=none	末尾母音重複
R000027	arigatou	arigatoy	ありがとう	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=none	QWERTY隣接置換
R000028	asobou	asobuo	あそぼう	transpose	high	auto	length=short;position=medial;lexical=common;feature=none	語末転置
R000029	daijoubu	daijobu	だいじょうぶ	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	母音脱落
R000030	otsukaresama	otsukaresamaa	おつかれさま	duplicate	high	auto	length=long;position=medial;lexical=common;feature=none	長語の末尾重複
R000031	arigatou	raigatou	ありがとう	transpose	high	auto	length=medium;position=initial;lexical=common;feature=none	generated stratified transpose fixture
R000032	arigatou	arrigatou	ありがとう	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000033	arigatou	argatou	ありがとう	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000034	arigatou	zrigatou	ありがとう	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified neighbor fixture
R000035	arigatou	urigatou	ありがとう	replacement	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified replacement fixture
R000036	yoroshiku	yrooshiku	よろしく	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified transpose fixture
R000037	yoroshiku	yorroshiku	よろしく	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000038	yoroshiku	yorshiku	よろしく	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000039	yoroshiku	yiroshiku	よろしく	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified neighbor fixture
R000040	yoroshiku	ooroshiku	よろしく	replacement	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified replacement fixture
R000041	kudasai	kuadsai	ください	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified transpose fixture
R000042	kudasai	kudaasai	ください	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000043	kudasai	kudaai	ください	omission	medium	suggest	length=short;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000044	kudasai	kydasai	ください	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified neighbor fixture
R000045	kudasai	uudasai	ください	replacement	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified replacement fixture
R000046	sumimasen	summiasen	すみません	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=n	generated stratified transpose fixture
