case_id	typed_raw	expected_reading	reason	raw_policy	display_policy	auto_policy	stratum
N000001	kana	かな	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000002	linux0	りぬx	technical_term	forbidden	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000003	wwwx0	っっw	incomplete_or_intentional	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=intentional
N000004	sshx0	っs	technical_term	forbidden	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000005	github	ぎtふb	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000006	mozkey0	もzけy	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000007	onegai	おねがい	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000008	google	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000009	docker	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000010	typescript	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000011	grimodex0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000012	fcitx0	technical	technical_term	forbidden	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000013	qwerty	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000014	password	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000015	aaaa0	intentional	incomplete_or_intentional	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=intentional
N000016	zzzz0	intentional	incomplete_or_intentional	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=intentional
N000017	test	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000018	nihongo	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000019	kudasai	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000020	sakura	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000021	asagohan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000022	hirugohan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000023	bangohan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000024	mainichi	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000025	itsumo	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000026	tokidoki	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000027	hontou	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000028	chigau	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000029	omou	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000030	kangaeru	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000031	tsukau	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000032	tsukuru	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000033	hajimaru	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000034	owarimasu	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000035	kaeru	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000036	modoru	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000037	noru	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000038	oriru	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000039	aruku	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000040	hashiru	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000041	oyogu	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000042	asobu	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000043	hataraku	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000044	yasumu	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000045	benkyou	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000046	renshuu	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000047	shukudai	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000048	shigoto	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000049	kaimono	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000050	ryouri	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000051	omiyage	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000052	omocha	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000053	jikan	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000054	ashita	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000055	kinou0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000056	sayonara	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000057	tadaima	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000058	okaerinasai	normal	normal	allowed	allowed	forbidden	length=long;position=none;lexical=common;feature=none
N000059	ittekimasu	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000060	oyasuminasai	normal	normal	allowed	allowed	forbidden	length=long;position=none;lexical=common;feature=none
N000061	atsukatta	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000062	atatakai	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000063	samui0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000064	atsui0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000065	kirei0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000066	genki0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000067	benri0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000068	anzen0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000069	daiji0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000070	byouin	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000071	kaisha	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000072	sensei	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000073	gakusei	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000074	kazoku	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000075	otousan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000076	okaasan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000077	imouto	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000078	oniisan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000079	oniichan	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000080	toukyou	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000081	oosaka	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000082	nagoya	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000083	kyouto	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000084	pokemon	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000085	panasonikku	normal	normal	allowed	allowed	forbidden	length=long;position=none;lexical=common;feature=none
N000086	soni-	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000087	denwa0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000088	tegami	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000089	shashin	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000090	ongaku	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000091	eiga0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000092	honya0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000093	kippu0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000094	jisho0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000095	kouen0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000096	mizu0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000097	kuruma	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000098	jitensha	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000099	basu0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000100	hikouki	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000101	tabi0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000102	ryokou	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000103	kaigi0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000104	yakusoku	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000105	mondai	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000106	kotae0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000107	seikatsu	normal	normal	allowed	allowed	forbidden	length=medium;position=none;lexical=common;feature=none
N000108	shizen	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000109	sekai0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000110	nihon0	normal	normal	forbidden	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000111	eigo	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000112	kotoba	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000113	namae	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000114	denki	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000115	yotei	normal	normal	allowed	allowed	forbidden	length=short;position=none;lexical=common;feature=none
N000116	python	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000117	protobuf	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000118	bazel	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000119	terminal	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000120	compiler	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000121	runtime	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000122	backend	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000123	frontend	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000124	unicode	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
